image_id,id,xcentroid,ycentroid,sum,sum_err,flux_jy,flux_jy_final,flux_jy_err,magnitude,magnitude_err,snr
1,1,2003,1997,319048.44081440277,136.59278914074255,5.066833259116111e-17,5.066833259116111e-17,2.1692407748714038e-20,14.320358433569776,0.0004648159094323007,2335.763423687479
2,1,2001,1692,33487.48814805975,361.2292938466342,5.31817420200306e-18,5.31817420200306e-18,5.736710687434046e-20,16.767793567724596,0.011711438092797474,92.70424275800126
3,1,2003,2003,306174.8740756983,134.39043683958616,4.8623871381803146e-17,4.8623871381803146e-17,2.1342650456081427e-20,14.365076130257094,0.00047655019935001155,2278.248968274141
4,1,2003,1997,318928.7002912862,136.5566325187428,5.064931650496924e-17,5.064931650496924e-17,2.168666568727603e-20,14.320765992443832,0.00046486733802943923,2335.505016554303
5,1,2003,1997,318861.9743542316,136.50984441314677,5.063871970668209e-17,5.063871970668209e-17,2.1679235231607297e-20,14.320993172830125,0.0004648053076241218,2335.816700436611
6,1,2003,1997,318917.7466002179,136.53894174264562,5.064757694071769e-17,5.064757694071769e-17,2.1683856201278232e-20,14.320803282983043,0.00046482307939990034,2335.727394176876
7,1,2003,1997,306228.303109515,131.1251530175782,4.8632356488480166e-17,4.8632356488480166e-17,2.082408817671182e-20,14.364886680434793,0.00046489033569268814,2335.3894814403993
8,1,2003,1997,319061.273956682,136.60523135079072,5.067037063253042e-17,5.067037063253042e-17,2.1694383705829766e-20,14.320314762687252,0.00046483955209709784,2335.644622110844
9,1,2003,1997,318957.2594512483,136.5509881497876,5.065385200751483e-17,5.065385200751483e-17,2.1685769300624653e-20,14.320668772200946,0.0004648065013139622,2335.8107017239067
10,1,2003,1997,319014.8070553972,136.58938560983896,5.066299118756974e-17,5.066299118756974e-17,2.1691867231307443e-20,14.320472896798961,0.00046485333181055325,2335.5753862649894
11,1,2003,2003,293802.6032467843,128.8015674738881,4.665902136822164e-17,4.665902136822164e-17,2.045507773794841e-20,14.409860901123555,0.0004759653599425038,2281.04835219763
12,1,2001,1692,9911.626963916993,104.34727669643883,1.5740732355417159e-18,1.5740732355417159e-18,1.657147268026518e-20,18.089637628807843,0.011429994159561514,94.98692517631616
13,1,2003,2003,306166.6681242769,134.38449579227736,4.862256818823547e-17,4.862256818823547e-17,2.1341706953708518e-20,14.365105230025572,0.00047654190436710895,2278.2886248836994
14,1,2003,1997,318803.00552794355,136.4931901053433,5.0629354821226926e-17,5.0629354821226926e-17,2.1676590347950422e-20,14.321193982320551,0.0004648345653202511,2335.669679065281
15,1,2003,1997,318966.58869753504,136.56128191096715,5.065533359241923e-17,5.065533359241923e-17,2.168740406089406e-20,14.320637015744477,0.000464827944444461,2335.702947673626
16,1,2003,1997,318822.83585314645,137.11868689165826,5.063250409069274e-17,5.063250409069274e-17,2.1775925982134403e-20,14.321126448978472,0.00046693568219449797,2325.159634186537
17,1,2003,1997,318816.02045260003,136.51402465613612,5.0631421731597844e-17,5.0631421731597844e-17,2.167989909926813e-20,14.321149658753253,0.0004648865397628367,2335.40855055488
18,1,2003,1997,319008.0404889732,136.5651080451586,5.066191658386005e-17,5.066191658386005e-17,2.1688011692259554e-20,14.320495926401042,0.0004647805665881132,2335.9410398114674
19,1,2003,1997,319062.98424115963,136.6014929719306,5.0670642244146876e-17,5.0670642244146876e-17,2.1693790010957125e-20,14.320308942761887,0.0004648243395339405,2335.72106204375
20,1,2003,1997,306237.3875440801,131.07863018464326,4.863379919464344e-17,4.863379919464344e-17,2.081669984920201e-20,14.364854471938354,0.00046471160798739077,2336.287670329636
21,1,2434,2054,5608.746530889655,232.24675027020305,8.907294262940939e-19,8.907294262940939e-19,3.6883288179905005e-20,18.707835465194286,0.0449566218369229,24.149946229018344
22,1,2003,1997,319022.4039114129,136.57233860353557,5.0664197650219333e-17,5.0664197650219333e-17,2.1689159982894445e-20,14.32044704193822,0.00046478424776409265,2335.922538732555
23,1,2003,1997,318803.2620367042,136.51227913097085,5.0629395557583966e-17,5.0629395557583966e-17,2.1679621891050488e-20,14.321193108738019,0.0004648991999192006,2335.3449526019713
24,1,2003,2003,306228.71876503155,134.40551526886279,4.8632422499058065e-17,4.8632422499058065e-17,2.1345045073236083e-20,14.364885206724061,0.00047651986566084114,2278.3939941188887
25,1,2003,1997,318862.6995561897,136.52177695575156,5.0638834876572637e-17,5.0638834876572637e-17,2.168113024803745e-20,14.320990703494836,0.00046484487977791833,2335.6178528172627
26,1,2003,1997,318999.50782856875,136.56440042411512,5.066056150538307e-17,5.066056150538307e-17,2.1687899314407813e-20,14.320524967494206,0.0004647905902730779,2335.8906628512423
27,1,2001,1692,15052.225840455276,105.02426723999739,2.3904557664493316e-18,2.3904557664493316e-18,1.6678986078338953e-20,17.635998185598787,0.007575281433527597,143.32140786146607
28,1,2001,1692,11661.772712015636,104.57705424783283,1.8520152515606994e-18,1.8520152515606994e-18,1.660796383303902e-20,17.913088568083037,0.009736024753756999,111.5136852523966
29,1,2003,1997,319045.5025295305,136.57929215630628,5.0667865959840875e-17,5.0667865959840875e-17,2.1690264282052208e-20,14.320368432731494,0.00046477426046893336,2335.972734171175
30,1,2003,1997,318976.20609114144,136.55947191887483,5.065686093822498e-17,5.065686093822498e-17,2.1687116614633277e-20,14.320604279416017,0.0004648077688276196,2335.804332054198
31,1,2003,2003,306232.51273000636,134.38650449334384,4.8633025021605087e-17,4.8633025021605087e-17,2.1342025957097006e-20,14.364871755276294,0.0004764465622141858,2278.74453528311
32,1,2003,2003,293572.38693740824,128.67444710056063,4.662246053594928e-17,4.662246053594928e-17,2.0434889651968652e-20,14.410711990117779,0.0004758684857062668,2281.5127133049027
33,1,2003,1997,318701.942687377,136.47950457287138,5.0613304952419036e-17,5.0613304952419036e-17,2.167441693782748e-20,14.321538223055262,0.0004649353463782176,2335.163390904679
34,1,2003,1997,318815.9260694212,136.50608302166157,5.063140674253135e-17,5.063140674253135e-17,2.1678637882081655e-20,14.321149980177658,0.0004648596328413871,2335.543728251507
35,1,2003,1997,319078.1473995953,136.5973666253285,5.067305031720559e-17,5.067305031720559e-17,2.1693134702623733e-20,14.320257345429328,0.0004647882098907638,2335.9026259619736
36,1,2003,2003,306072.14052309946,134.365975764959,4.860755618590981e-17,4.860755618590981e-17,2.1338765773675262e-20,14.365440498023329,0.00047662338571127235,2277.899139128042
37,1,2003,1997,319008.3854407519,136.56578883582296,5.0661971365922003e-17,5.0661971365922003e-17,2.1688119809157786e-20,14.320494752366583,0.00046478238098412143,2335.9319208726447
38,1,2003,1997,319015.795918439,136.6000429230476,5.066314822968335e-17,5.066314822968335e-17,2.1693559727559124e-20,14.32046953130395,0.0004648881607087241,2335.4004075837197
